Area,,,,
 ==================== ,,,,
Area,Unit,Category,Time,ID
107942,µm^2,Surface,1,0
226.68,µm^2,Surface,1,1
11955.1,µm^2,Surface,1,2
80852.1,µm^2,Surface,1,3
11627.2,µm^2,Surface,1,4
92525.3,µm^2,Surface,1,5
9716.4,µm^2,Surface,1,6
29045.3,µm^2,Surface,1,7
7728.15,µm^2,Surface,1,8
201234,µm^2,Surface,1,9
19078.2,µm^2,Surface,1,10
2730.06,µm^2,Surface,1,11
85758.9,µm^2,Surface,1,12
10466.4,µm^2,Surface,1,13
5754.95,µm^2,Surface,1,14
9303.55,µm^2,Surface,1,15
153987,µm^2,Surface,1,16
250646,µm^2,Surface,1,17
7808.33,µm^2,Surface,1,18
7578.55,µm^2,Surface,1,19
6783.13,µm^2,Surface,1,20
75669.7,µm^2,Surface,1,21
3254.63,µm^2,Surface,1,22
2293.54,µm^2,Surface,1,23
3392.92,µm^2,Surface,1,24
51226.4,µm^2,Surface,1,25
4191.24,µm^2,Surface,1,26
884.323,µm^2,Surface,1,27
288306,µm^2,Surface,1,28
22431.8,µm^2,Surface,1,29
3284.3,µm^2,Surface,1,30
14688.6,µm^2,Surface,1,31
4371.66,µm^2,Surface,1,32
32542.2,µm^2,Surface,1,33
5632.67,µm^2,Surface,1,34
14995.3,µm^2,Surface,1,35
49837.8,µm^2,Surface,1,36
2651.02,µm^2,Surface,1,37
1418.49,µm^2,Surface,1,38
16243,µm^2,Surface,1,39
5602.35,µm^2,Surface,1,40
2519.96,µm^2,Surface,1,41
2202.85,µm^2,Surface,1,42
2800.6,µm^2,Surface,1,43
5522.31,µm^2,Surface,1,44
6843.59,µm^2,Surface,1,45
17391.2,µm^2,Surface,1,46
6611.37,µm^2,Surface,1,47
16266.1,µm^2,Surface,1,48
110828,µm^2,Surface,1,49
54140.1,µm^2,Surface,1,50
28091.4,µm^2,Surface,1,51
33909.2,µm^2,Surface,1,52
50243.6,µm^2,Surface,1,53
109886,µm^2,Surface,1,54
83801.7,µm^2,Surface,1,55
26055.6,µm^2,Surface,1,56
147633,µm^2,Surface,1,57
44001.6,µm^2,Surface,1,58
103899,µm^2,Surface,1,59
73820.3,µm^2,Surface,1,60
1101.26,µm^2,Surface,1,61
6922.37,µm^2,Surface,1,62
27429.3,µm^2,Surface,1,63
1055.96,µm^2,Surface,1,64
437627,µm^2,Surface,1,65
9174.88,µm^2,Surface,1,66
20087.8,µm^2,Surface,1,67
1909.25,µm^2,Surface,1,68
72419.1,µm^2,Surface,1,69
34971.9,µm^2,Surface,1,70
212247,µm^2,Surface,1,71
112764,µm^2,Surface,1,72
10863.6,µm^2,Surface,1,73
2191.23,µm^2,Surface,1,74
7699.13,µm^2,Surface,1,75
9733.01,µm^2,Surface,1,76
3081.07,µm^2,Surface,1,77
3648.38,µm^2,Surface,1,78
2044.96,µm^2,Surface,1,79
8674.8,µm^2,Surface,1,80
18670.4,µm^2,Surface,1,81
10298.8,µm^2,Surface,1,82
1984.46,µm^2,Surface,1,83
13643.3,µm^2,Surface,1,84
12226.8,µm^2,Surface,1,85
2471.02,µm^2,Surface,1,86
4652.41,µm^2,Surface,1,87
7115.38,µm^2,Surface,1,88
4933.91,µm^2,Surface,1,89
12472.9,µm^2,Surface,1,90
398.875,µm^2,Surface,1,91
1130.64,µm^2,Surface,1,92
1269.51,µm^2,Surface,1,93
507.826,µm^2,Surface,1,94
59394.7,µm^2,Surface,1,95
4415.7,µm^2,Surface,1,96
7642.89,µm^2,Surface,1,97
855.294,µm^2,Surface,1,98
5874.56,µm^2,Surface,1,99
9905.36,µm^2,Surface,1,100
229.107,µm^2,Surface,1,101
3732.27,µm^2,Surface,1,102
1046.07,µm^2,Surface,1,103
24574.1,µm^2,Surface,1,104
2778.87,µm^2,Surface,1,105
6402.9,µm^2,Surface,1,106
6136.1,µm^2,Surface,1,107
2006.96,µm^2,Surface,1,108
655.624,µm^2,Surface,1,109
240.628,µm^2,Surface,1,110
