Ellipsoid Axis A Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis A Y,Unit,Category,Collection,Time,ID
0.284176,µm,Surface,Ellipsoid Axis A,1,0
0,µm,Surface,Ellipsoid Axis A,1,1
0.0326358,µm,Surface,Ellipsoid Axis A,1,2
-0.173934,µm,Surface,Ellipsoid Axis A,1,3
0.305528,µm,Surface,Ellipsoid Axis A,1,4
-0.215321,µm,Surface,Ellipsoid Axis A,1,5
-0.743527,µm,Surface,Ellipsoid Axis A,1,6
0.41906,µm,Surface,Ellipsoid Axis A,1,7
-0.99308,µm,Surface,Ellipsoid Axis A,1,8
-0.053038,µm,Surface,Ellipsoid Axis A,1,9
-0.0287078,µm,Surface,Ellipsoid Axis A,1,10
-0.460474,µm,Surface,Ellipsoid Axis A,1,11
-0.0643712,µm,Surface,Ellipsoid Axis A,1,12
0.00341297,µm,Surface,Ellipsoid Axis A,1,13
-0.188499,µm,Surface,Ellipsoid Axis A,1,14
-0.240064,µm,Surface,Ellipsoid Axis A,1,15
-0.126656,µm,Surface,Ellipsoid Axis A,1,16
-0.00555095,µm,Surface,Ellipsoid Axis A,1,17
0.973615,µm,Surface,Ellipsoid Axis A,1,18
-0.297942,µm,Surface,Ellipsoid Axis A,1,19
-0.923602,µm,Surface,Ellipsoid Axis A,1,20
-0.530689,µm,Surface,Ellipsoid Axis A,1,21
0.77026,µm,Surface,Ellipsoid Axis A,1,22
0.869023,µm,Surface,Ellipsoid Axis A,1,23
0.360815,µm,Surface,Ellipsoid Axis A,1,24
0.25798,µm,Surface,Ellipsoid Axis A,1,25
0.527004,µm,Surface,Ellipsoid Axis A,1,26
-0.616311,µm,Surface,Ellipsoid Axis A,1,27
-0.0553273,µm,Surface,Ellipsoid Axis A,1,28
0.278602,µm,Surface,Ellipsoid Axis A,1,29
-0.864178,µm,Surface,Ellipsoid Axis A,1,30
0.967294,µm,Surface,Ellipsoid Axis A,1,31
0.295766,µm,Surface,Ellipsoid Axis A,1,32
0.0889693,µm,Surface,Ellipsoid Axis A,1,33
0.958154,µm,Surface,Ellipsoid Axis A,1,34
0.59341,µm,Surface,Ellipsoid Axis A,1,35
0.394609,µm,Surface,Ellipsoid Axis A,1,36
-0.947885,µm,Surface,Ellipsoid Axis A,1,37
0.270279,µm,Surface,Ellipsoid Axis A,1,38
-0.453698,µm,Surface,Ellipsoid Axis A,1,39
-0.575175,µm,Surface,Ellipsoid Axis A,1,40
0.336268,µm,Surface,Ellipsoid Axis A,1,41
-0.897774,µm,Surface,Ellipsoid Axis A,1,42
0.69109,µm,Surface,Ellipsoid Axis A,1,43
0.83942,µm,Surface,Ellipsoid Axis A,1,44
-0.307323,µm,Surface,Ellipsoid Axis A,1,45
0.0430774,µm,Surface,Ellipsoid Axis A,1,46
0.264989,µm,Surface,Ellipsoid Axis A,1,47
-0.217644,µm,Surface,Ellipsoid Axis A,1,48
-0.0511562,µm,Surface,Ellipsoid Axis A,1,49
0.0235381,µm,Surface,Ellipsoid Axis A,1,50
0.888534,µm,Surface,Ellipsoid Axis A,1,51
-0.931854,µm,Surface,Ellipsoid Axis A,1,52
-0.108202,µm,Surface,Ellipsoid Axis A,1,53
-0.109126,µm,Surface,Ellipsoid Axis A,1,54
-0.0156491,µm,Surface,Ellipsoid Axis A,1,55
-0.900602,µm,Surface,Ellipsoid Axis A,1,56
0.0790029,µm,Surface,Ellipsoid Axis A,1,57
-0.324594,µm,Surface,Ellipsoid Axis A,1,58
0.648295,µm,Surface,Ellipsoid Axis A,1,59
0.106042,µm,Surface,Ellipsoid Axis A,1,60
0.0658652,µm,Surface,Ellipsoid Axis A,1,61
-0.930911,µm,Surface,Ellipsoid Axis A,1,62
-0.0371113,µm,Surface,Ellipsoid Axis A,1,63
0.293187,µm,Surface,Ellipsoid Axis A,1,64
0.000588182,µm,Surface,Ellipsoid Axis A,1,65
0.700519,µm,Surface,Ellipsoid Axis A,1,66
-0.053281,µm,Surface,Ellipsoid Axis A,1,67
0.0256336,µm,Surface,Ellipsoid Axis A,1,68
0.0661573,µm,Surface,Ellipsoid Axis A,1,69
0.775372,µm,Surface,Ellipsoid Axis A,1,70
-0.162798,µm,Surface,Ellipsoid Axis A,1,71
-0.197495,µm,Surface,Ellipsoid Axis A,1,72
-0.98286,µm,Surface,Ellipsoid Axis A,1,73
-0.257238,µm,Surface,Ellipsoid Axis A,1,74
0.718619,µm,Surface,Ellipsoid Axis A,1,75
-0.499234,µm,Surface,Ellipsoid Axis A,1,76
-0.586114,µm,Surface,Ellipsoid Axis A,1,77
0.527348,µm,Surface,Ellipsoid Axis A,1,78
