Ellipsoid Axis B X,,,,,
 ==================== ,,,,,
Ellipsoid Axis B X,Unit,Category,Collection,Time,ID
0.373654,µm,Surface,Ellipsoid Axis B,1,0
0.981411,µm,Surface,Ellipsoid Axis B,1,1
-0.146239,µm,Surface,Ellipsoid Axis B,1,2
0.43588,µm,Surface,Ellipsoid Axis B,1,3
-0.285792,µm,Surface,Ellipsoid Axis B,1,4
0.689342,µm,Surface,Ellipsoid Axis B,1,5
-0.413731,µm,Surface,Ellipsoid Axis B,1,6
0.885117,µm,Surface,Ellipsoid Axis B,1,7
-0.429148,µm,Surface,Ellipsoid Axis B,1,8
0.968144,µm,Surface,Ellipsoid Axis B,1,9
0.365679,µm,Surface,Ellipsoid Axis B,1,10
0.441301,µm,Surface,Ellipsoid Axis B,1,11
0.626109,µm,Surface,Ellipsoid Axis B,1,12
0.841331,µm,Surface,Ellipsoid Axis B,1,13
-0.203677,µm,Surface,Ellipsoid Axis B,1,14
-0.048629,µm,Surface,Ellipsoid Axis B,1,15
0.666142,µm,Surface,Ellipsoid Axis B,1,16
0.765694,µm,Surface,Ellipsoid Axis B,1,17
0.848793,µm,Surface,Ellipsoid Axis B,1,18
0.480818,µm,Surface,Ellipsoid Axis B,1,19
0.93506,µm,Surface,Ellipsoid Axis B,1,20
0.541976,µm,Surface,Ellipsoid Axis B,1,21
0.715409,µm,Surface,Ellipsoid Axis B,1,22
0.823596,µm,Surface,Ellipsoid Axis B,1,23
0.325463,µm,Surface,Ellipsoid Axis B,1,24
-0.449384,µm,Surface,Ellipsoid Axis B,1,25
0.52417,µm,Surface,Ellipsoid Axis B,1,26
-0.615931,µm,Surface,Ellipsoid Axis B,1,27
0.887503,µm,Surface,Ellipsoid Axis B,1,28
-0.444399,µm,Surface,Ellipsoid Axis B,1,29
0.875771,µm,Surface,Ellipsoid Axis B,1,30
0.343038,µm,Surface,Ellipsoid Axis B,1,31
0.958384,µm,Surface,Ellipsoid Axis B,1,32
0.185537,µm,Surface,Ellipsoid Axis B,1,33
0.708062,µm,Surface,Ellipsoid Axis B,1,34
0.229715,µm,Surface,Ellipsoid Axis B,1,35
0.787309,µm,Surface,Ellipsoid Axis B,1,36
0.956331,µm,Surface,Ellipsoid Axis B,1,37
-0.254356,µm,Surface,Ellipsoid Axis B,1,38
0.896186,µm,Surface,Ellipsoid Axis B,1,39
0.889384,µm,Surface,Ellipsoid Axis B,1,40
0.267372,µm,Surface,Ellipsoid Axis B,1,41
0.903685,µm,Surface,Ellipsoid Axis B,1,42
0.300192,µm,Surface,Ellipsoid Axis B,1,43
0.771494,µm,Surface,Ellipsoid Axis B,1,44
0.451939,µm,Surface,Ellipsoid Axis B,1,45
0.904216,µm,Surface,Ellipsoid Axis B,1,46
0.404138,µm,Surface,Ellipsoid Axis B,1,47
0.867791,µm,Surface,Ellipsoid Axis B,1,48
-0.618064,µm,Surface,Ellipsoid Axis B,1,49
0.20081,µm,Surface,Ellipsoid Axis B,1,50
0.893389,µm,Surface,Ellipsoid Axis B,1,51
-0.133829,µm,Surface,Ellipsoid Axis B,1,52
0.872359,µm,Surface,Ellipsoid Axis B,1,53
0.629017,µm,Surface,Ellipsoid Axis B,1,54
0.221622,µm,Surface,Ellipsoid Axis B,1,55
0.909365,µm,Surface,Ellipsoid Axis B,1,56
-0.890696,µm,Surface,Ellipsoid Axis B,1,57
0.0987523,µm,Surface,Ellipsoid Axis B,1,58
0.289779,µm,Surface,Ellipsoid Axis B,1,59
0.560794,µm,Surface,Ellipsoid Axis B,1,60
-0.196581,µm,Surface,Ellipsoid Axis B,1,61
0.946342,µm,Surface,Ellipsoid Axis B,1,62
0.281824,µm,Surface,Ellipsoid Axis B,1,63
0.672477,µm,Surface,Ellipsoid Axis B,1,64
0.819723,µm,Surface,Ellipsoid Axis B,1,65
0.623348,µm,Surface,Ellipsoid Axis B,1,66
0.0754994,µm,Surface,Ellipsoid Axis B,1,67
0.204706,µm,Surface,Ellipsoid Axis B,1,68
0.943685,µm,Surface,Ellipsoid Axis B,1,69
0.00207004,µm,Surface,Ellipsoid Axis B,1,70
0.775475,µm,Surface,Ellipsoid Axis B,1,71
-0.185131,µm,Surface,Ellipsoid Axis B,1,72
-0.532067,µm,Surface,Ellipsoid Axis B,1,73
0.580909,µm,Surface,Ellipsoid Axis B,1,74
0.592993,µm,Surface,Ellipsoid Axis B,1,75
0.536283,µm,Surface,Ellipsoid Axis B,1,76
0.600242,µm,Surface,Ellipsoid Axis B,1,77
0.543639,µm,Surface,Ellipsoid Axis B,1,78
0.898007,µm,Surface,Ellipsoid Axis B,1,79
-0.679464,µm,Surface,Ellipsoid Axis B,1,80
0.458449,µm,Surface,Ellipsoid Axis B,1,81
0.950627,µm,Surface,Ellipsoid Axis B,1,82
0.483538,µm,Surface,Ellipsoid Axis B,1,83
0.39631,µm,Surface,Ellipsoid Axis B,1,84
0.865673,µm,Surface,Ellipsoid Axis B,1,85
0.346678,µm,Surface,Ellipsoid Axis B,1,86
0.422214,µm,Surface,Ellipsoid Axis B,1,87
0.653291,µm,Surface,Ellipsoid Axis B,1,88
0.763969,µm,Surface,Ellipsoid Axis B,1,89
-0.0177796,µm,Surface,Ellipsoid Axis B,1,90
0.716863,µm,Surface,Ellipsoid Axis B,1,91
0.848895,µm,Surface,Ellipsoid Axis B,1,92
0.155835,µm,Surface,Ellipsoid Axis B,1,93
0.982818,µm,Surface,Ellipsoid Axis B,1,94
0.707546,µm,Surface,Ellipsoid Axis B,1,95
-0.799157,µm,Surface,Ellipsoid Axis B,1,96
0.390951,µm,Surface,Ellipsoid Axis B,1,97
-0.627777,µm,Surface,Ellipsoid Axis B,1,98
0.917285,µm,Surface,Ellipsoid Axis B,1,99
0.105998,µm,Surface,Ellipsoid Axis B,1,100
0.885158,µm,Surface,Ellipsoid Axis B,1,101
-0.208504,µm,Surface,Ellipsoid Axis B,1,102
0.893257,µm,Surface,Ellipsoid Axis B,1,103
0.0201866,µm,Surface,Ellipsoid Axis B,1,104
-0.632984,µm,Surface,Ellipsoid Axis B,1,105
-0.237678,µm,Surface,Ellipsoid Axis B,1,106
-0.342469,µm,Surface,Ellipsoid Axis B,1,107
-0.746174,µm,Surface,Ellipsoid Axis B,1,108
-0.896817,µm,Surface,Ellipsoid Axis B,1,109
0.989101,µm,Surface,Ellipsoid Axis B,1,110
0.168158,µm,Surface,Ellipsoid Axis B,1,111
0.0609194,µm,Surface,Ellipsoid Axis B,1,112
0.855263,µm,Surface,Ellipsoid Axis B,1,113
0.884646,µm,Surface,Ellipsoid Axis B,1,114
0.877305,µm,Surface,Ellipsoid Axis B,1,115
-0.724426,µm,Surface,Ellipsoid Axis B,1,116
-0.0137414,µm,Surface,Ellipsoid Axis B,1,117
0.711835,µm,Surface,Ellipsoid Axis B,1,118
-0.51201,µm,Surface,Ellipsoid Axis B,1,119
0.495324,µm,Surface,Ellipsoid Axis B,1,120
0.176434,µm,Surface,Ellipsoid Axis B,1,121
-0.839592,µm,Surface,Ellipsoid Axis B,1,122
0.149783,µm,Surface,Ellipsoid Axis B,1,123
-0.541108,µm,Surface,Ellipsoid Axis B,1,124
0.226519,µm,Surface,Ellipsoid Axis B,1,125
0.460036,µm,Surface,Ellipsoid Axis B,1,126
-0.597289,µm,Surface,Ellipsoid Axis B,1,127
0.852605,µm,Surface,Ellipsoid Axis B,1,128
0.0948095,µm,Surface,Ellipsoid Axis B,1,129
0.00737506,µm,Surface,Ellipsoid Axis B,1,130
0.452141,µm,Surface,Ellipsoid Axis B,1,131
0.86709,µm,Surface,Ellipsoid Axis B,1,132
-0.236045,µm,Surface,Ellipsoid Axis B,1,133
0.994823,µm,Surface,Ellipsoid Axis B,1,134
