Ellipsoid Axis B Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis B Y,Unit,Category,Collection,Time,ID
0.232086,µm,Surface,Ellipsoid Axis B,1,0
-0.191916,µm,Surface,Ellipsoid Axis B,1,1
-0.163544,µm,Surface,Ellipsoid Axis B,1,2
-0.0210107,µm,Surface,Ellipsoid Axis B,1,3
-0.15509,µm,Surface,Ellipsoid Axis B,1,4
-0.687015,µm,Surface,Ellipsoid Axis B,1,5
-0.134406,µm,Surface,Ellipsoid Axis B,1,6
0.449945,µm,Surface,Ellipsoid Axis B,1,7
0.0673079,µm,Surface,Ellipsoid Axis B,1,8
0.0269666,µm,Surface,Ellipsoid Axis B,1,9
-0.923144,µm,Surface,Ellipsoid Axis B,1,10
0.887042,µm,Surface,Ellipsoid Axis B,1,11
-0.776626,µm,Surface,Ellipsoid Axis B,1,12
0.376941,µm,Surface,Ellipsoid Axis B,1,13
-0.932817,µm,Surface,Ellipsoid Axis B,1,14
-0.763091,µm,Surface,Ellipsoid Axis B,1,15
-0.682086,µm,Surface,Ellipsoid Axis B,1,16
-0.639269,µm,Surface,Ellipsoid Axis B,1,17
0.0365333,µm,Surface,Ellipsoid Axis B,1,18
0.532285,µm,Surface,Ellipsoid Axis B,1,19
-0.272329,µm,Surface,Ellipsoid Axis B,1,20
-0.662239,µm,Surface,Ellipsoid Axis B,1,21
0.636405,µm,Surface,Ellipsoid Axis B,1,22
-0.461964,µm,Surface,Ellipsoid Axis B,1,23
-0.897119,µm,Surface,Ellipsoid Axis B,1,24
-0.83548,µm,Surface,Ellipsoid Axis B,1,25
-0.808215,µm,Surface,Ellipsoid Axis B,1,26
-0.786099,µm,Surface,Ellipsoid Axis B,1,27
0.0397043,µm,Surface,Ellipsoid Axis B,1,28
-0.835264,µm,Surface,Ellipsoid Axis B,1,29
-0.481423,µm,Surface,Ellipsoid Axis B,1,30
-0.103559,µm,Surface,Ellipsoid Axis B,1,31
-0.107553,µm,Surface,Ellipsoid Axis B,1,32
-0.09372,µm,Surface,Ellipsoid Axis B,1,33
-0.207849,µm,Surface,Ellipsoid Axis B,1,34
-0.0200729,µm,Surface,Ellipsoid Axis B,1,35
-0.415184,µm,Surface,Ellipsoid Axis B,1,36
-0.289624,µm,Surface,Ellipsoid Axis B,1,37
-0.961972,µm,Surface,Ellipsoid Axis B,1,38
-0.3888,µm,Surface,Ellipsoid Axis B,1,39
-0.117379,µm,Surface,Ellipsoid Axis B,1,40
-0.909531,µm,Surface,Ellipsoid Axis B,1,41
-0.404729,µm,Surface,Ellipsoid Axis B,1,42
-0.274614,µm,Surface,Ellipsoid Axis B,1,43
-0.209425,µm,Surface,Ellipsoid Axis B,1,44
-0.691949,µm,Surface,Ellipsoid Axis B,1,45
-0.412841,µm,Surface,Ellipsoid Axis B,1,46
-0.8131,µm,Surface,Ellipsoid Axis B,1,47
-0.0300099,µm,Surface,Ellipsoid Axis B,1,48
0.779498,µm,Surface,Ellipsoid Axis B,1,49
-0.978835,µm,Surface,Ellipsoid Axis B,1,50
0.0280409,µm,Surface,Ellipsoid Axis B,1,51
0.272272,µm,Surface,Ellipsoid Axis B,1,52
-0.47539,µm,Surface,Ellipsoid Axis B,1,53
0.741171,µm,Surface,Ellipsoid Axis B,1,54
0.973864,µm,Surface,Ellipsoid Axis B,1,55
-0.41456,µm,Surface,Ellipsoid Axis B,1,56
-0.423837,µm,Surface,Ellipsoid Axis B,1,57
0.942422,µm,Surface,Ellipsoid Axis B,1,58
0.439953,µm,Surface,Ellipsoid Axis B,1,59
0.153447,µm,Surface,Ellipsoid Axis B,1,60
0.453338,µm,Surface,Ellipsoid Axis B,1,61
-0.32261,µm,Surface,Ellipsoid Axis B,1,62
0.309678,µm,Surface,Ellipsoid Axis B,1,63
0.207372,µm,Surface,Ellipsoid Axis B,1,64
0.56165,µm,Surface,Ellipsoid Axis B,1,65
-0.647613,µm,Surface,Ellipsoid Axis B,1,66
0.048071,µm,Surface,Ellipsoid Axis B,1,67
-0.382683,µm,Surface,Ellipsoid Axis B,1,68
0.0529854,µm,Surface,Ellipsoid Axis B,1,69
0.590706,µm,Surface,Ellipsoid Axis B,1,70
-0.569822,µm,Surface,Ellipsoid Axis B,1,71
-0.953473,µm,Surface,Ellipsoid Axis B,1,72
0.0714905,µm,Surface,Ellipsoid Axis B,1,73
-0.750438,µm,Surface,Ellipsoid Axis B,1,74
-0.391233,µm,Surface,Ellipsoid Axis B,1,75
-0.839509,µm,Surface,Ellipsoid Axis B,1,76
-0.799597,µm,Surface,Ellipsoid Axis B,1,77
-0.788053,µm,Surface,Ellipsoid Axis B,1,78
0.43675,µm,Surface,Ellipsoid Axis B,1,79
-0.59359,µm,Surface,Ellipsoid Axis B,1,80
-0.888154,µm,Surface,Ellipsoid Axis B,1,81
0.237196,µm,Surface,Ellipsoid Axis B,1,82
-0.828798,µm,Surface,Ellipsoid Axis B,1,83
-0.506438,µm,Surface,Ellipsoid Axis B,1,84
0.364867,µm,Surface,Ellipsoid Axis B,1,85
-0.922654,µm,Surface,Ellipsoid Axis B,1,86
