Ellipsoid Axis C Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis C Y,Unit,Category,Collection,Time,ID
-0.930258,µm,Surface,Ellipsoid Axis C,1,0
0.981411,µm,Surface,Ellipsoid Axis C,1,1
-0.985996,µm,Surface,Ellipsoid Axis C,1,2
-0.984533,µm,Surface,Ellipsoid Axis C,1,3
0.939468,µm,Surface,Ellipsoid Axis C,1,4
0.694008,µm,Surface,Ellipsoid Axis C,1,5
-0.655059,µm,Surface,Ellipsoid Axis C,1,6
-0.788631,µm,Surface,Ellipsoid Axis C,1,7
-0.0962327,µm,Surface,Ellipsoid Axis C,1,8
0.998228,µm,Surface,Ellipsoid Axis C,1,9
-0.383381,µm,Surface,Ellipsoid Axis C,1,10
-0.0334711,µm,Surface,Ellipsoid Axis C,1,11
0.626664,µm,Surface,Ellipsoid Axis C,1,12
-0.926231,µm,Surface,Ellipsoid Axis C,1,13
0.307118,µm,Surface,Ellipsoid Axis C,1,14
-0.600051,µm,Surface,Ellipsoid Axis C,1,15
0.720221,µm,Surface,Ellipsoid Axis C,1,16
-0.768963,µm,Surface,Ellipsoid Axis C,1,17
-0.225255,µm,Surface,Ellipsoid Axis C,1,18
-0.792403,µm,Surface,Ellipsoid Axis C,1,19
-0.269807,µm,Surface,Ellipsoid Axis C,1,20
-0.52897,µm,Surface,Ellipsoid Axis C,1,21
0.0410934,µm,Surface,Ellipsoid Axis C,1,22
-0.177165,µm,Surface,Ellipsoid Axis C,1,23
-0.254932,µm,Surface,Ellipsoid Axis C,1,24
-0.485201,µm,Surface,Ellipsoid Axis C,1,25
-0.262785,µm,Surface,Ellipsoid Axis C,1,26
0.0470105,µm,Surface,Ellipsoid Axis C,1,27
0.997679,µm,Surface,Ellipsoid Axis C,1,28
-0.474041,µm,Surface,Ellipsoid Axis C,1,29
-0.146383,µm,Surface,Ellipsoid Axis C,1,30
-0.231557,µm,Surface,Ellipsoid Axis C,1,31
-0.949186,µm,Surface,Ellipsoid Axis C,1,32
-0.991615,µm,Surface,Ellipsoid Axis C,1,33
-0.196826,µm,Surface,Ellipsoid Axis C,1,34
-0.80465,µm,Surface,Ellipsoid Axis C,1,35
0.819699,µm,Surface,Ellipsoid Axis C,1,36
-0.132787,µm,Surface,Ellipsoid Axis C,1,37
0.0394868,µm,Surface,Ellipsoid Axis C,1,38
-0.801868,µm,Surface,Ellipsoid Axis C,1,39
-0.809565,µm,Surface,Ellipsoid Axis C,1,40
-0.244289,µm,Surface,Ellipsoid Axis C,1,41
-0.173768,µm,Surface,Ellipsoid Axis C,1,42
0.668567,µm,Surface,Ellipsoid Axis C,1,43
-0.501512,µm,Surface,Ellipsoid Axis C,1,44
-0.653268,µm,Surface,Ellipsoid Axis C,1,45
