Ellipsoid Axis Length A,,,,
 ==================== ,,,,
Ellipsoid Axis Length A,Unit,Category,Time,ID
42.9276,µm,Surface,1,0
3.3541,µm,Surface,1,1
19.9448,µm,Surface,1,2
36.8014,µm,Surface,1,3
16.0127,µm,Surface,1,4
23.6414,µm,Surface,1,5
11.952,µm,Surface,1,6
28.0429,µm,Surface,1,7
13.8244,µm,Surface,1,8
37.7779,µm,Surface,1,9
25.3108,µm,Surface,1,10
7.46955,µm,Surface,1,11
30.1368,µm,Surface,1,12
18.6609,µm,Surface,1,13
12.4512,µm,Surface,1,14
14.1069,µm,Surface,1,15
32.9429,µm,Surface,1,16
41.2889,µm,Surface,1,17
12.0409,µm,Surface,1,18
12.2438,µm,Surface,1,19
12.6841,µm,Surface,1,20
39.2645,µm,Surface,1,21
8.05342,µm,Surface,1,22
7.83019,µm,Surface,1,23
10.2047,µm,Surface,1,24
32.4167,µm,Surface,1,25
8.979,µm,Surface,1,26
6.30117,µm,Surface,1,27
36.4997,µm,Surface,1,28
24.5267,µm,Surface,1,29
8.30779,µm,Surface,1,30
18.1424,µm,Surface,1,31
11.1561,µm,Surface,1,32
31.1329,µm,Surface,1,33
9.54293,µm,Surface,1,34
25.5842,µm,Surface,1,35
25.2978,µm,Surface,1,36
6.09198,µm,Surface,1,37
7.08165,µm,Surface,1,38
20.3233,µm,Surface,1,39
14.5861,µm,Surface,1,40
9.37411,µm,Surface,1,41
8.20249,µm,Surface,1,42
9.63672,µm,Surface,1,43
12.8695,µm,Surface,1,44
14.4684,µm,Surface,1,45
23.4909,µm,Surface,1,46
17.8331,µm,Surface,1,47
20.1168,µm,Surface,1,48
48.3232,µm,Surface,1,49
33.9069,µm,Surface,1,50
25.3957,µm,Surface,1,51
24.282,µm,Surface,1,52
32.8547,µm,Surface,1,53
41.3491,µm,Surface,1,54
44.8249,µm,Surface,1,55
34.2042,µm,Surface,1,56
37.7521,µm,Surface,1,57
35.4322,µm,Surface,1,58
41.7246,µm,Surface,1,59
26.0192,µm,Surface,1,60
6.09262,µm,Surface,1,61
12.2493,µm,Surface,1,62
36.2887,µm,Surface,1,63
7.70705,µm,Surface,1,64
46.4561,µm,Surface,1,65
15.1527,µm,Surface,1,66
16.0629,µm,Surface,1,67
8.65788,µm,Surface,1,68
23.1975,µm,Surface,1,69
33.2778,µm,Surface,1,70
40.402,µm,Surface,1,71
36.5378,µm,Surface,1,72
14.0584,µm,Surface,1,73
10.3845,µm,Surface,1,74
13.3231,µm,Surface,1,75
12.6432,µm,Surface,1,76
8.59408,µm,Surface,1,77
10.2687,µm,Surface,1,78
6.23255,µm,Surface,1,79
12.313,µm,Surface,1,80
31.8311,µm,Surface,1,81
13.6762,µm,Surface,1,82
7.57611,µm,Surface,1,83
16.5464,µm,Surface,1,84
16.4134,µm,Surface,1,85
7.10494,µm,Surface,1,86
