Ellipsoid Axis Length B,,,,
 ==================== ,,,,
Ellipsoid Axis Length B,Unit,Category,Time,ID
47.4601,µm,Surface,1,0
4.9975,µm,Surface,1,1
26.2257,µm,Surface,1,2
46.7855,µm,Surface,1,3
22.073,µm,Surface,1,4
100.717,µm,Surface,1,5
26.053,µm,Surface,1,6
37.9289,µm,Surface,1,7
23.8489,µm,Surface,1,8
107.083,µm,Surface,1,9
34.0741,µm,Surface,1,10
12.9269,µm,Surface,1,11
64.1919,µm,Surface,1,12
21.9355,µm,Surface,1,13
19.5477,µm,Surface,1,14
24.1209,µm,Surface,1,15
105.347,µm,Surface,1,16
139.23,µm,Surface,1,17
15.802,µm,Surface,1,18
27.1826,µm,Surface,1,19
22.2573,µm,Surface,1,20
56.3981,µm,Surface,1,21
14.8817,µm,Surface,1,22
8.98176,µm,Surface,1,23
16.8706,µm,Surface,1,24
49.1474,µm,Surface,1,25
16.002,µm,Surface,1,26
6.7134,µm,Surface,1,27
114.584,µm,Surface,1,28
35.7042,µm,Surface,1,29
11.7304,µm,Surface,1,30
36.9244,µm,Surface,1,31
20.3968,µm,Surface,1,32
46.9915,µm,Surface,1,33
24.8212,µm,Surface,1,34
32.3747,µm,Surface,1,35
60.0873,µm,Surface,1,36
12.5936,µm,Surface,1,37
9.70809,µm,Surface,1,38
25.8438,µm,Surface,1,39
21.0304,µm,Surface,1,40
13.7205,µm,Surface,1,41
10.2992,µm,Surface,1,42
16.2788,µm,Surface,1,43
15.7238,µm,Surface,1,44
20.3845,µm,Surface,1,45
39.6099,µm,Surface,1,46
22.7926,µm,Surface,1,47
27.6208,µm,Surface,1,48
82.4688,µm,Surface,1,49
56.4112,µm,Surface,1,50
42.0168,µm,Surface,1,51
38.0079,µm,Surface,1,52
64.9125,µm,Surface,1,53
83.9364,µm,Surface,1,54
59.7492,µm,Surface,1,55
41.5126,µm,Surface,1,56
85.8111,µm,Surface,1,57
58.101,µm,Surface,1,58
56.5872,µm,Surface,1,59
45.7223,µm,Surface,1,60
7.83815,µm,Surface,1,61
16.794,µm,Surface,1,62
39.643,µm,Surface,1,63
8.33329,µm,Surface,1,64
134.01,µm,Surface,1,65
28.7444,µm,Surface,1,66
33.56,µm,Surface,1,67
12.9434,µm,Surface,1,68
43.8064,µm,Surface,1,69
37.3822,µm,Surface,1,70
115.981,µm,Surface,1,71
78.245,µm,Surface,1,72
22.5093,µm,Surface,1,73
12.981,µm,Surface,1,74
25.6321,µm,Surface,1,75
19.327,µm,Surface,1,76
13.987,µm,Surface,1,77
12.4346,µm,Surface,1,78
9.80706,µm,Surface,1,79
18.4236,µm,Surface,1,80
37.7662,µm,Surface,1,81
27.0556,µm,Surface,1,82
13.8266,µm,Surface,1,83
39.9147,µm,Surface,1,84
27.8421,µm,Surface,1,85
9.6329,µm,Surface,1,86
21.0511,µm,Surface,1,87
21.7998,µm,Surface,1,88
19.9924,µm,Surface,1,89
28.6227,µm,Surface,1,90
4.66363,µm,Surface,1,91
8.79953,µm,Surface,1,92
7.61842,µm,Surface,1,93
5.22746,µm,Surface,1,94
74.6522,µm,Surface,1,95
16.6616,µm,Surface,1,96
23.7937,µm,Surface,1,97
6.24962,µm,Surface,1,98
24.473,µm,Surface,1,99
26.5551,µm,Surface,1,100
3.10902,µm,Surface,1,101
18.8771,µm,Surface,1,102
6.69292,µm,Surface,1,103
33.8916,µm,Surface,1,104
11.5854,µm,Surface,1,105
24.1652,µm,Surface,1,106
21.3334,µm,Surface,1,107
13.3361,µm,Surface,1,108
4.55461,µm,Surface,1,109
4.2955,µm,Surface,1,110
11.1659,µm,Surface,1,111
3.75945,µm,Surface,1,112
16.2888,µm,Surface,1,113
3.80953,µm,Surface,1,114
6.36904,µm,Surface,1,115
7.08615,µm,Surface,1,116
13.9535,µm,Surface,1,117
20.5728,µm,Surface,1,118
13.8054,µm,Surface,1,119
18.9091,µm,Surface,1,120
10.1629,µm,Surface,1,121
12.6261,µm,Surface,1,122
8.50874,µm,Surface,1,123
19.3135,µm,Surface,1,124
17.6207,µm,Surface,1,125
9.92858,µm,Surface,1,126
12.8596,µm,Surface,1,127
8.35306,µm,Surface,1,128
10.2863,µm,Surface,1,129
6.32234,µm,Surface,1,130
36.4317,µm,Surface,1,131
10.8448,µm,Surface,1,132
23.6168,µm,Surface,1,133
29.0424,µm,Surface,1,134
7.98725,µm,Surface,1,135
34.4473,µm,Surface,1,136
5.11963,µm,Surface,1,137
3.97223,µm,Surface,1,138
14.9581,µm,Surface,1,139
6.95897,µm,Surface,1,140
17.1473,µm,Surface,1,141
18.3716,µm,Surface,1,142
4.73475,µm,Surface,1,143
19.9882,µm,Surface,1,144
26.5114,µm,Surface,1,145
8.67556,µm,Surface,1,146
18.6998,µm,Surface,1,147
20.3838,µm,Surface,1,148
16.1611,µm,Surface,1,149
17.9551,µm,Surface,1,150
7.15097,µm,Surface,1,151
35.7306,µm,Surface,1,152
10.5993,µm,Surface,1,153
93.3823,µm,Surface,1,154
6.84578,µm,Surface,1,155
4.04609,µm,Surface,1,156
18.1043,µm,Surface,1,157
13.7633,µm,Surface,1,158
11.6453,µm,Surface,1,159
24.9524,µm,Surface,1,160
7.40942,µm,Surface,1,161
26.3974,µm,Surface,1,162
3.73562,µm,Surface,1,163
9.35232,µm,Surface,1,164
13.9366,µm,Surface,1,165
17.0213,µm,Surface,1,166
14.5279,µm,Surface,1,167
17.0337,µm,Surface,1,168
28.5626,µm,Surface,1,169
9.60957,µm,Surface,1,170
42.5694,µm,Surface,1,171
27.6529,µm,Surface,1,172
11.0407,µm,Surface,1,173
27.5187,µm,Surface,1,174
12.8995,µm,Surface,1,175
24.3926,µm,Surface,1,176
20.2181,µm,Surface,1,177
21.8658,µm,Surface,1,178
13.1494,µm,Surface,1,179
18.1518,µm,Surface,1,180
17.4087,µm,Surface,1,181
23.2391,µm,Surface,1,182
5.10212,µm,Surface,1,183
7.99443,µm,Surface,1,184
11.0457,µm,Surface,1,185
20.4816,µm,Surface,1,186
8.85633,µm,Surface,1,187
17.791,µm,Surface,1,188
6.13731,µm,Surface,1,189
11.6378,µm,Surface,1,190
4.54574,µm,Surface,1,191
21.4912,µm,Surface,1,192
11.1601,µm,Surface,1,193
24.3809,µm,Surface,1,194
14.5647,µm,Surface,1,195
