Ellipsoid Axis Length C,,,,
 ==================== ,,,,
Ellipsoid Axis Length C,Unit,Category,Time,ID
148.993,µm,Surface,1,0
6.41374,µm,Surface,1,1
35.127,µm,Surface,1,2
136.336,µm,Surface,1,3
42.5427,µm,Surface,1,4
149.847,µm,Surface,1,5
54.6916,µm,Surface,1,6
57.3054,µm,Surface,1,7
38.3343,µm,Surface,1,8
178.441,µm,Surface,1,9
50.816,µm,Surface,1,10
25.5951,µm,Surface,1,11
118.176,µm,Surface,1,12
42.4363,µm,Surface,1,13
25.6361,µm,Surface,1,14
39.6221,µm,Surface,1,15
173.056,µm,Surface,1,16
200.582,µm,Surface,1,17
55.9028,µm,Surface,1,18
33.1939,µm,Surface,1,19
30.0216,µm,Surface,1,20
114.602,µm,Surface,1,21
25.9971,µm,Surface,1,22
27.1741,µm,Surface,1,23
21.5862,µm,Surface,1,24
85.5012,µm,Surface,1,25
30.6884,µm,Surface,1,26
13.9732,µm,Surface,1,27
244.084,µm,Surface,1,28
65.6401,µm,Surface,1,29
31.4392,µm,Surface,1,30
44.8346,µm,Surface,1,31
25.3577,µm,Surface,1,32
109.716,µm,Surface,1,33
32.9099,µm,Surface,1,34
47.0546,µm,Surface,1,35
105.122,µm,Surface,1,36
26.8395,µm,Surface,1,37
17.2608,µm,Surface,1,38
59.3895,µm,Surface,1,39
29.2438,µm,Surface,1,40
27.0025,µm,Surface,1,41
23.0369,µm,Surface,1,42
20.3332,µm,Surface,1,43
35.1834,µm,Surface,1,44
38.3206,µm,Surface,1,45
46.3026,µm,Surface,1,46
25.6342,µm,Surface,1,47
54.6785,µm,Surface,1,48
120.186,µm,Surface,1,49
91.4735,µm,Surface,1,50
74.2795,µm,Surface,1,51
103.78,µm,Surface,1,52
78.6826,µm,Surface,1,53
136.53,µm,Surface,1,54
99.3512,µm,Surface,1,55
48.8741,µm,Surface,1,56
194.783,µm,Surface,1,57
98.0364,µm,Surface,1,58
162.271,µm,Surface,1,59
147.586,µm,Surface,1,60
17.7232,µm,Surface,1,61
43.0007,µm,Surface,1,62
65.2173,µm,Surface,1,63
13.5399,µm,Surface,1,64
301.573,µm,Surface,1,65
35.3332,µm,Surface,1,66
75.9106,µm,Surface,1,67
17.7351,µm,Surface,1,68
344.049,µm,Surface,1,69
85.9377,µm,Surface,1,70
186.834,µm,Surface,1,71
124.109,µm,Surface,1,72
47.1265,µm,Surface,1,73
15.7106,µm,Surface,1,74
39.4758,µm,Surface,1,75
58.565,µm,Surface,1,76
24.6747,µm,Surface,1,77
29.3411,µm,Surface,1,78
24.6004,µm,Surface,1,79
55.5823,µm,Surface,1,80
39.6382,µm,Surface,1,81
44.8654,µm,Surface,1,82
15.6179,µm,Surface,1,83
54.9784,µm,Surface,1,84
75.849,µm,Surface,1,85
33.8795,µm,Surface,1,86
25.5013,µm,Surface,1,87
31.3709,µm,Surface,1,88
26.465,µm,Surface,1,89
46.8875,µm,Surface,1,90
10.3371,µm,Surface,1,91
26.7808,µm,Surface,1,92
20.3499,µm,Surface,1,93
12.6202,µm,Surface,1,94
93.0151,µm,Surface,1,95
28.0998,µm,Surface,1,96
42.948,µm,Surface,1,97
18.1309,µm,Surface,1,98
33.5675,µm,Surface,1,99
59.4478,µm,Surface,1,100
11.7252,µm,Surface,1,101
25.262,µm,Surface,1,102
19.2623,µm,Surface,1,103
72.0068,µm,Surface,1,104
24.1738,µm,Surface,1,105
39.4231,µm,Surface,1,106
40.1804,µm,Surface,1,107
21.4168,µm,Surface,1,108
18.2307,µm,Surface,1,109
7.22261,µm,Surface,1,110
15.3878,µm,Surface,1,111
8.27357,µm,Surface,1,112
29.2028,µm,Surface,1,113
7.84431,µm,Surface,1,114
26.1302,µm,Surface,1,115
16.111,µm,Surface,1,116
15.4134,µm,Surface,1,117
38.7117,µm,Surface,1,118
16.7928,µm,Surface,1,119
46.8543,µm,Surface,1,120
24.973,µm,Surface,1,121
35.8904,µm,Surface,1,122
13.0907,µm,Surface,1,123
26.8698,µm,Surface,1,124
33.3411,µm,Surface,1,125
20.5659,µm,Surface,1,126
37.7689,µm,Surface,1,127
17.8512,µm,Surface,1,128
13.3554,µm,Surface,1,129
13.4699,µm,Surface,1,130
57.753,µm,Surface,1,131
22.5229,µm,Surface,1,132
46.3226,µm,Surface,1,133
41.9654,µm,Surface,1,134
29.5881,µm,Surface,1,135
38.5465,µm,Surface,1,136
10.5528,µm,Surface,1,137
7.37909,µm,Surface,1,138
22.3778,µm,Surface,1,139
8.21755,µm,Surface,1,140
33.9019,µm,Surface,1,141
36.5107,µm,Surface,1,142
10.4581,µm,Surface,1,143
30.6987,µm,Surface,1,144
56.8507,µm,Surface,1,145
17.9247,µm,Surface,1,146
44.7404,µm,Surface,1,147
27.515,µm,Surface,1,148
26.4504,µm,Surface,1,149
35.5584,µm,Surface,1,150
