Number of Voxels Img=1,,,,,
 ==================== ,,,,,
Number of Voxels,Unit,Category,Image,Time,ID
84423,,Surface,Image 1,1,0
49,,Surface,Image 1,1,1
5205,,Surface,Image 1,1,2
54008,,Surface,Image 1,1,3
4539,,Surface,Image 1,1,4
38056,,Surface,Image 1,1,5
4048,,Surface,Image 1,1,6
13986,,Surface,Image 1,1,7
3040,,Surface,Image 1,1,8
111226,,Surface,Image 1,1,9
7136,,Surface,Image 1,1,10
959,,Surface,Image 1,1,11
36736,,Surface,Image 1,1,12
4917,,Surface,Image 1,1,13
1715,,Surface,Image 1,1,14
4279,,Surface,Image 1,1,15
76189,,Surface,Image 1,1,16
125732,,Surface,Image 1,1,17
3184,,Surface,Image 1,1,18
3642,,Surface,Image 1,1,19
3789,,Surface,Image 1,1,20
39988,,Surface,Image 1,1,21
1219,,Surface,Image 1,1,22
873,,Surface,Image 1,1,23
1208,,Surface,Image 1,1,24
22903,,Surface,Image 1,1,25
1653,,Surface,Image 1,1,26
249,,Surface,Image 1,1,27
171058,,Surface,Image 1,1,28
9886,,Surface,Image 1,1,29
1471,,Surface,Image 1,1,30
5829,,Surface,Image 1,1,31
1639,,Surface,Image 1,1,32
13359,,Surface,Image 1,1,33
2247,,Surface,Image 1,1,34
5633,,Surface,Image 1,1,35
21511,,Surface,Image 1,1,36
828,,Surface,Image 1,1,37
421,,Surface,Image 1,1,38
6887,,Surface,Image 1,1,39
2204,,Surface,Image 1,1,40
627,,Surface,Image 1,1,41
861,,Surface,Image 1,1,42
989,,Surface,Image 1,1,43
2152,,Surface,Image 1,1,44
2729,,Surface,Image 1,1,45
10669,,Surface,Image 1,1,46
4487,,Surface,Image 1,1,47
10291,,Surface,Image 1,1,48
69945,,Surface,Image 1,1,49
31514,,Surface,Image 1,1,50
19568,,Surface,Image 1,1,51
20578,,Surface,Image 1,1,52
33662,,Surface,Image 1,1,53
75239,,Surface,Image 1,1,54
62083,,Surface,Image 1,1,55
17155,,Surface,Image 1,1,56
85155,,Surface,Image 1,1,57
26132,,Surface,Image 1,1,58
67314,,Surface,Image 1,1,59
57240,,Surface,Image 1,1,60
343,,Surface,Image 1,1,61
4253,,Surface,Image 1,1,62
16400,,Surface,Image 1,1,63
360,,Surface,Image 1,1,64
271573,,Surface,Image 1,1,65
5185,,Surface,Image 1,1,66
13576,,Surface,Image 1,1,67
651,,Surface,Image 1,1,68
46924,,Surface,Image 1,1,69
20450,,Surface,Image 1,1,70
147995,,Surface,Image 1,1,71
69303,,Surface,Image 1,1,72
5298,,Surface,Image 1,1,73
957,,Surface,Image 1,1,74
2854,,Surface,Image 1,1,75
5273,,Surface,Image 1,1,76
1290,,Surface,Image 1,1,77
1406,,Surface,Image 1,1,78
610,,Surface,Image 1,1,79
4377,,Surface,Image 1,1,80
11708,,Surface,Image 1,1,81
6149,,Surface,Image 1,1,82
661,,Surface,Image 1,1,83
5331,,Surface,Image 1,1,84
4855,,Surface,Image 1,1,85
670,,Surface,Image 1,1,86
2054,,Surface,Image 1,1,87
3626,,Surface,Image 1,1,88
2090,,Surface,Image 1,1,89
7953,,Surface,Image 1,1,90
