Position X,,,,,
 ==================== ,,,,,
Position X,Unit,Category,Collection,Time,ID
947.853,µm,Surface,Position,1,0
389.922,µm,Surface,Position,1,1
310.775,µm,Surface,Position,1,2
842.429,µm,Surface,Position,1,3
285.858,µm,Surface,Position,1,4
378.353,µm,Surface,Position,1,5
786.372,µm,Surface,Position,1,6
850.855,µm,Surface,Position,1,7
628.432,µm,Surface,Position,1,8
585.028,µm,Surface,Position,1,9
334.523,µm,Surface,Position,1,10
557.648,µm,Surface,Position,1,11
278.146,µm,Surface,Position,1,12
560.841,µm,Surface,Position,1,13
438.322,µm,Surface,Position,1,14
637.814,µm,Surface,Position,1,15
639.94,µm,Surface,Position,1,16
462.471,µm,Surface,Position,1,17
565.945,µm,Surface,Position,1,18
516.851,µm,Surface,Position,1,19
265.212,µm,Surface,Position,1,20
452.036,µm,Surface,Position,1,21
479.972,µm,Surface,Position,1,22
460.286,µm,Surface,Position,1,23
367.375,µm,Surface,Position,1,24
265.179,µm,Surface,Position,1,25
333.456,µm,Surface,Position,1,26
196.503,µm,Surface,Position,1,27
691.732,µm,Surface,Position,1,28
303.577,µm,Surface,Position,1,29
153.024,µm,Surface,Position,1,30
296.707,µm,Surface,Position,1,31
276.596,µm,Surface,Position,1,32
253.67,µm,Surface,Position,1,33
41.961,µm,Surface,Position,1,34
79.2335,µm,Surface,Position,1,35
51.1346,µm,Surface,Position,1,36
59.5137,µm,Surface,Position,1,37
84.0421,µm,Surface,Position,1,38
109.381,µm,Surface,Position,1,39
145.35,µm,Surface,Position,1,40
76.4878,µm,Surface,Position,1,41
35.2459,µm,Surface,Position,1,42
15.1631,µm,Surface,Position,1,43
62.3795,µm,Surface,Position,1,44
36.5665,µm,Surface,Position,1,45
1078.53,µm,Surface,Position,1,46
589.089,µm,Surface,Position,1,47
628.878,µm,Surface,Position,1,48
103.891,µm,Surface,Position,1,49
427.138,µm,Surface,Position,1,50
320.378,µm,Surface,Position,1,51
144.69,µm,Surface,Position,1,52
604.038,µm,Surface,Position,1,53
367.084,µm,Surface,Position,1,54
427.521,µm,Surface,Position,1,55
374.512,µm,Surface,Position,1,56
188.127,µm,Surface,Position,1,57
-368.69,µm,Surface,Position,1,58
314.114,µm,Surface,Position,1,59
678.363,µm,Surface,Position,1,60
315.039,µm,Surface,Position,1,61
271.304,µm,Surface,Position,1,62
416.624,µm,Surface,Position,1,63
316.865,µm,Surface,Position,1,64
408.894,µm,Surface,Position,1,65
304.216,µm,Surface,Position,1,66
620.618,µm,Surface,Position,1,67
236.192,µm,Surface,Position,1,68
777.521,µm,Surface,Position,1,69
339.378,µm,Surface,Position,1,70
459.414,µm,Surface,Position,1,71
495.742,µm,Surface,Position,1,72
-469.31,µm,Surface,Position,1,73
-538.306,µm,Surface,Position,1,74
-553.619,µm,Surface,Position,1,75
-456.372,µm,Surface,Position,1,76
-580.604,µm,Surface,Position,1,77
-355.397,µm,Surface,Position,1,78
-385.823,µm,Surface,Position,1,79
-380.048,µm,Surface,Position,1,80
-557.755,µm,Surface,Position,1,81
-432.414,µm,Surface,Position,1,82
-399.74,µm,Surface,Position,1,83
-421.77,µm,Surface,Position,1,84
-496.855,µm,Surface,Position,1,85
-471.086,µm,Surface,Position,1,86
-503.848,µm,Surface,Position,1,87
-524.117,µm,Surface,Position,1,88
60.2682,µm,Surface,Position,1,89
36.6994,µm,Surface,Position,1,90
125.37,µm,Surface,Position,1,91
128.495,µm,Surface,Position,1,92
90.8352,µm,Surface,Position,1,93
72.9859,µm,Surface,Position,1,94
76.268,µm,Surface,Position,1,95
110.511,µm,Surface,Position,1,96
-148.214,µm,Surface,Position,1,97
85.0002,µm,Surface,Position,1,98
-183.966,µm,Surface,Position,1,99
50.0551,µm,Surface,Position,1,100
81.5264,µm,Surface,Position,1,101
121.543,µm,Surface,Position,1,102
68.7621,µm,Surface,Position,1,103
-251.88,µm,Surface,Position,1,104
21.0929,µm,Surface,Position,1,105
-214.213,µm,Surface,Position,1,106
-174.619,µm,Surface,Position,1,107
27.2744,µm,Surface,Position,1,108
102.588,µm,Surface,Position,1,109
-185.768,µm,Surface,Position,1,110
-67.4976,µm,Surface,Position,1,111
182.184,µm,Surface,Position,1,112
-244.484,µm,Surface,Position,1,113
-205.155,µm,Surface,Position,1,114
212.923,µm,Surface,Position,1,115
63.0798,µm,Surface,Position,1,116
185.277,µm,Surface,Position,1,117
98.3265,µm,Surface,Position,1,118
209.199,µm,Surface,Position,1,119
-252.521,µm,Surface,Position,1,120
57.6231,µm,Surface,Position,1,121
161.663,µm,Surface,Position,1,122
88.4949,µm,Surface,Position,1,123
-360.161,µm,Surface,Position,1,124
-326.251,µm,Surface,Position,1,125
-236.318,µm,Surface,Position,1,126
-66.7547,µm,Surface,Position,1,127
-279.328,µm,Surface,Position,1,128
190.537,µm,Surface,Position,1,129
325.485,µm,Surface,Position,1,130
-294.065,µm,Surface,Position,1,131
337.142,µm,Surface,Position,1,132
-244.024,µm,Surface,Position,1,133
-350.181,µm,Surface,Position,1,134
84.9348,µm,Surface,Position,1,135
58.8588,µm,Surface,Position,1,136
264.867,µm,Surface,Position,1,137
79.1124,µm,Surface,Position,1,138
-331.989,µm,Surface,Position,1,139
84.0508,µm,Surface,Position,1,140
-292.271,µm,Surface,Position,1,141
314.67,µm,Surface,Position,1,142
135.941,µm,Surface,Position,1,143
-337.285,µm,Surface,Position,1,144
52.4992,µm,Surface,Position,1,145
75.305,µm,Surface,Position,1,146
-372.887,µm,Surface,Position,1,147
103.105,µm,Surface,Position,1,148
204.05,µm,Surface,Position,1,149
28.577,µm,Surface,Position,1,150
295.444,µm,Surface,Position,1,151
272.699,µm,Surface,Position,1,152
311.105,µm,Surface,Position,1,153
144.34,µm,Surface,Position,1,154
72.9824,µm,Surface,Position,1,155
157.825,µm,Surface,Position,1,156
237.965,µm,Surface,Position,1,157
235.711,µm,Surface,Position,1,158
213.432,µm,Surface,Position,1,159
39.3415,µm,Surface,Position,1,160
-253.664,µm,Surface,Position,1,161
101.258,µm,Surface,Position,1,162
-253.26,µm,Surface,Position,1,163
-385.694,µm,Surface,Position,1,164
282.313,µm,Surface,Position,1,165
231.934,µm,Surface,Position,1,166
242.553,µm,Surface,Position,1,167
214.158,µm,Surface,Position,1,168
-147.179,µm,Surface,Position,1,169
-239.924,µm,Surface,Position,1,170
-224.89,µm,Surface,Position,1,171
-201.526,µm,Surface,Position,1,172
-350.86,µm,Surface,Position,1,173
-469.582,µm,Surface,Position,1,174
240.134,µm,Surface,Position,1,175
-225.882,µm,Surface,Position,1,176
-309.532,µm,Surface,Position,1,177
-353.688,µm,Surface,Position,1,178
312.406,µm,Surface,Position,1,179
109.408,µm,Surface,Position,1,180
174.812,µm,Surface,Position,1,181
-353.954,µm,Surface,Position,1,182
253.907,µm,Surface,Position,1,183
127.279,µm,Surface,Position,1,184
113.611,µm,Surface,Position,1,185
115.736,µm,Surface,Position,1,186
-300.925,µm,Surface,Position,1,187
-319.459,µm,Surface,Position,1,188
-324.897,µm,Surface,Position,1,189
-327.935,µm,Surface,Position,1,190
-288.773,µm,Surface,Position,1,191
-277.801,µm,Surface,Position,1,192
-350.675,µm,Surface,Position,1,193
-331.872,µm,Surface,Position,1,194
-307.569,µm,Surface,Position,1,195
-344.638,µm,Surface,Position,1,196
