Position Y,,,,,
 ==================== ,,,,,
Position Y,Unit,Category,Collection,Time,ID
-2156.06,µm,Surface,Position,1,0
-1892.63,µm,Surface,Position,1,1
-1851,µm,Surface,Position,1,2
-2265.31,µm,Surface,Position,1,3
-1922.66,µm,Surface,Position,1,4
-1939.38,µm,Surface,Position,1,5
-2638.75,µm,Surface,Position,1,6
-2716.48,µm,Surface,Position,1,7
-2621.48,µm,Surface,Position,1,8
-2320.42,µm,Surface,Position,1,9
-2374.33,µm,Surface,Position,1,10
-2815.56,µm,Surface,Position,1,11
-2495.31,µm,Surface,Position,1,12
-2958.88,µm,Surface,Position,1,13
-2906.95,µm,Surface,Position,1,14
-3110.93,µm,Surface,Position,1,15
-2982.76,µm,Surface,Position,1,16
-2757.69,µm,Surface,Position,1,17
-3239.03,µm,Surface,Position,1,18
-3244.3,µm,Surface,Position,1,19
-3013.98,µm,Surface,Position,1,20
-3121.15,µm,Surface,Position,1,21
-3286.96,µm,Surface,Position,1,22
-3262.31,µm,Surface,Position,1,23
-3279.76,µm,Surface,Position,1,24
-3067.9,µm,Surface,Position,1,25
-3312.9,µm,Surface,Position,1,26
-3193.01,µm,Surface,Position,1,27
-3252.17,µm,Surface,Position,1,28
-3180.85,µm,Surface,Position,1,29
-3163.86,µm,Surface,Position,1,30
-3273.08,µm,Surface,Position,1,31
-3393.15,µm,Surface,Position,1,32
-3261.96,µm,Surface,Position,1,33
-3258.28,µm,Surface,Position,1,34
-3221.16,µm,Surface,Position,1,35
-3345.9,µm,Surface,Position,1,36
-3453.6,µm,Surface,Position,1,37
-3474.11,µm,Surface,Position,1,38
-3412.86,µm,Surface,Position,1,39
-3448.94,µm,Surface,Position,1,40
-3391.85,µm,Surface,Position,1,41
-3500.72,µm,Surface,Position,1,42
-3456,µm,Surface,Position,1,43
-3488.95,µm,Surface,Position,1,44
-3570.33,µm,Surface,Position,1,45
-470.168,µm,Surface,Position,1,46
-59.3507,µm,Surface,Position,1,47
-99.8609,µm,Surface,Position,1,48
463.635,µm,Surface,Position,1,49
46.6055,µm,Surface,Position,1,50
106.249,µm,Surface,Position,1,51
