Volume,,,,
 ==================== ,,,,
Volume,Unit,Category,Time,ID
702208,µm^3,Surface,1,0
219.214,µm^3,Surface,1,1
42237.4,µm^3,Surface,1,2
449644,µm^3,Surface,1,3
36833.4,µm^3,Surface,1,4
309506,µm^3,Surface,1,5
32937.6,µm^3,Surface,1,6
114815,µm^3,Surface,1,7
24803.7,µm^3,Surface,1,8
918305,µm^3,Surface,1,9
57166.8,µm^3,Surface,1,10
7692.23,µm^3,Surface,1,11
299072,µm^3,Surface,1,12
40295.6,µm^3,Surface,1,13
13459,µm^3,Surface,1,14
34650.3,µm^3,Surface,1,15
624664,µm^3,Surface,1,16
1.03E+06,µm^3,Surface,1,17
25776.8,µm^3,Surface,1,18
29694.8,µm^3,Surface,1,19
31128.6,µm^3,Surface,1,20
330703,µm^3,Surface,1,21
9776.14,µm^3,Surface,1,22
7110.32,µm^3,Surface,1,23
9548.17,µm^3,Surface,1,24
188438,µm^3,Surface,1,25
13367.5,µm^3,Surface,1,26
1858.81,µm^3,Surface,1,27
1.40E+06,µm^3,Surface,1,28
80349.7,µm^3,Surface,1,29
11990.7,µm^3,Surface,1,30
47185.2,µm^3,Surface,1,31
12290.3,µm^3,Surface,1,32
107989,µm^3,Surface,1,33
18066.1,µm^3,Surface,1,34
45535.6,µm^3,Surface,1,35
175140,µm^3,Surface,1,36
6647.38,µm^3,Surface,1,37
3158.39,µm^3,Surface,1,38
55017.5,µm^3,Surface,1,39
17730.2,µm^3,Surface,1,40
4726.79,µm^3,Surface,1,41
6950.01,µm^3,Surface,1,42
7883.01,µm^3,Surface,1,43
17245,µm^3,Surface,1,44
21332.9,µm^3,Surface,1,45
87852.8,µm^3,Surface,1,46
37014.5,µm^3,Surface,1,47
83735.6,µm^3,Surface,1,48
580100,µm^3,Surface,1,49
258823,µm^3,Surface,1,50
162340,µm^3,Surface,1,51
168985,µm^3,Surface,1,52
277724,µm^3,Surface,1,53
625297,µm^3,Surface,1,54
515891,µm^3,Surface,1,55
141043,µm^3,Surface,1,56
698478,µm^3,Surface,1,57
213914,µm^3,Surface,1,58
559119,µm^3,Surface,1,59
476735,µm^3,Surface,1,60
2344.32,µm^3,Surface,1,61
35243.2,µm^3,Surface,1,62
